#marque,modele,reference fournisseur,reference sap,designation taille mL mL,nombre produit par carton,prix achat,prix vente,code barre
HUGO BOSS,BOSS MA VIE INTENSE,82457965,82457965,BOSS MA VIE INTENSE EDP VAPO 50 mL,24,63.2,79,730870171134
HUGO BOSS,BOSS MA VIE INTENSE,82459570,82459570,BOSS MA VIE INTENSE EDP VAPO 75 mL,24,80,100,730870171219
HUGO BOSS,BOSS MA VIE,82444041,82444041,BOSS  MA VIE  EDP 30 mL,40,44.8,56,737052802749
HUGO BOSS,BOSS MA VIE,82444327,82444327,BOSS  MA VIE  EDP 50 mL,24,61.6,77,737052802770
HUGO BOSS,BOSS MA VIE,82444328/043,82444328,BOSS  MA VIE  EDP 75 mL,24,79.2,99,737052802800
HUGO BOSS,BOSS MA VIE,82444046,82444046,BOSS  MA VIE  BODY LOTION 200 mL,36,28,35,737052802893
HUGO BOSS,BOSS JOUR,82436983,82436983,BOSS JOUR EDP 30 mL,42,44.8,56,737052684390
HUGO BOSS,BOSS JOUR,82436984,82436984,BOSS JOUR EDP 50 mL,24,61.6,77,737052684437
HUGO BOSS,BOSS JOUR,82438770,82438770,BOSS JOUR EDP 75 mL,24,79.2,99,737052684475
HUGO BOSS,BOSS JOUR,82437005,82437005,BOSS JOUR SHOWER GEL 200 mL,36,24,30,737052684796
HUGO BOSS,BOSS JOUR,82437007,82437007,BOSS JOUR BODY LOTION 200 mL,36,27.2,34,737052684918
HUGO BOSS,BOSS NUIT,82428875,82428875,BOSS NUIT EDP 50 mL,24,61.6,77,737052549941
HUGO BOSS,BOSS NUIT,82445021,82428876,BOSS NUIT EDP 75 mL,24,79.2,99,737052549972
HUGO BOSS,BOSS NUIT INTENSE,82446506,82446506,BOSS NUIT INTENSE EDP 30 mL,24,46.4,58,737052852935
HUGO BOSS,BOSS NUIT INTENSE,82443593,82443593,BOSS NUIT INTENSE EDP 50 mL,24,63.2,79,737052793604
HUGO BOSS,BOSS NUIT INTENSE,82443594,82443594,BOSS NUIT INTENSE EDP 75 mL,24,79.2,99,737052796567
HUGO BOSS,BOSS FEMME,82451513,9101,BOSS FEMME EDP 50 mL,27,56,70,737052041285
HUGO BOSS,BOSS FEMME,82451514,9100,BOSS FEMME EDP 75 mL,18,68,85,737052041353
HUGO BOSS,HUGO WOMAN EXTREME,82459409,82454633,HUGO WOMAN EXTREME EDP VAPO 30 mL,45,40,50,737052987484
